"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Amanda's Wi-Fi Network","34:12:98:07:75:32","","-69","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:48:28","-78.94443","36.00107"
"Dukeblue","70:70:8B:85:B6:C2","","-65","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:25","-78.94443","36.00107"
"DukeVisitor","70:70:8B:85:B6:C3","","-66","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:25","-78.94443","36.00107"
"eduroam","70:70:8B:85:B6:C1","","-65","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:27","-78.94443","36.00107"
"DukeOpen","70:70:8B:85:B6:C0","","-65","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:28","-78.94443","36.00107"
"Wilkins's Wi-Fi Network","70:73:CB:BA:1F:2D","Apple","-68","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:48:21","-78.94447","36.00104"
"Dukeblue","6C:B2:AE:39:02:62","","-76","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:19","-78.94447","36.00104"
"eduroam","6C:B2:AE:39:02:61","","-76","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:21","-78.94447","36.00104"
"Dukeblue","38:0E:4D:BB:32:82","","-67","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:44","-78.94433","36.00112"
"eduroam","38:0E:4D:BB:32:81","","-68","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:44","-78.94433","36.00112"
"DIRECT-0e-HP M203 LaserJet","2E:6F:C9:5D:A4:0E","","-72","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 22:48:44","-78.94433","36.00112"
"HP-Print-C2-Photosmart 7520","6C:C2:17:81:76:C2","","-90","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:48:44","-78.94433","36.00112"
"DukeOpen","6C:B2:AE:39:02:60","","-74","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:25","-78.94443","36.00107"
"DukeVisitor","6C:B2:AE:39:02:63","","-76","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:21","-78.94447","36.00104"
"DukeOpen","38:0E:4D:BB:32:80","","-68","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:44","-78.94433","36.00112"
"DukeVisitor","38:0E:4D:BB:32:83","","-67","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:42","-78.94433","36.00112"
"Dukeblue","6C:B2:AE:39:52:42","","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:17","-78.94453","36.00103"
"DukeVisitor","6C:B2:AE:39:52:43","","-73","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:16","-78.94453","36.00103"
"DukeOpen","00:A3:8E:65:3E:40","","-62","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:30","-78.94438","36.0011"
"DukeVisitor","00:A3:8E:65:3E:43","","-64","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:30","-78.94438","36.0011"
